기간,분류,가족,이웃,공공기관,종합,외국인,강력범죄수,유아기,유치원생,나이_10대,나이_20대,나이_30대,나이_40대,나이_50대,나이_60이상,남자,여자,일인당경제수준
2015,강남구,8.78,5.27,4.96,6.336666667,5353,8617,21895,22652,68691,83981,101409,104146,84421,89561,279485,302624,8.314786406
2015,송파구,8.81,5.61,4.95,6.456666667,7242,6778,28406,28550,72055,94393,115148,114348,104725,105622,327589,342900,1.830384988
2015,강동구,8.85,5.31,4.78,6.313333333,4735,5244,18620,18721,47773,64910,75992,76638,79335,80114,232525,234313,0.727781372
2016,종로구,8.81,5.65,4.9,6.453333333,9164,4459,4301,4843,13861,23492,21384,25570,25440,34902,79838,83119,12.33028959
2016,중구,8.75,5.71,4.89,6.45,8828,4584,4270,3936,8679,17797,20523,20183,21220,29027,66701,67762,38.42654857
2016,용산구,8.65,5.58,4.92,6.383333333,14789,4137,8406,8126,19055,31383,38544,39740,36180,50094,120244,126073,6.675442621
2016,성동구,8.75,5.3,4.73,6.26,7891,3026,12377,11004,24831,43934,51112,50010,47880,56467,151346,154160,3.161338894
2016,광진구,8.89,5.62,5.12,6.543333333,14936,5322,12844,12690,32905,59532,62342,59773,56650,62008,182184,191496,NA
2016,동대문구,8.93,5.69,4.79,6.47,14562,4787,12769,12704,30079,54200,55952,57391,56941,76655,184089,187164,1.323105807
2016,중랑구,8.75,5.5,5.05,6.433333333,4664,5041,15250,14101,35433,58809,65347,66892,72902,83489,207523,209364,0.342410593
2016,성북구,8.85,5.74,5.06,6.55,10821,3744,17001,18978,43621,64963,68246,79253,69930,91692,226082,238423,1.007306703
2016,강북구,9,5.67,5.04,6.57,3477,4229,10699,11232,28891,43462,48214,54778,54982,76381,162917,169199,NA
2016,도봉구,8.77,5.63,5.24,6.546666667,2019,2438,12293,13086,34249,47336,49420,58122,60915,73813,172546,178707,0.623940578
2016,노원구,9.09,5.56,5.38,6.676666667,3684,4543,21218,23333,68813,78005,80674,103009,91690,104072,279512,294986,0.556769562
2016,은평구,8.97,5.64,5.67,6.76,4476,4501,18663,19665,47595,65260,77555,84772,78400,102128,242447,256067,0.448493286
2016,서대문구,8.95,5.47,5.17,6.53,11379,3665,11564,11137,28457,47894,47933,52536,49380,66079,156959,169400,2.119521754
2016,마포구,8.84,5.46,5.26,6.52,10742,5873,15832,15220,33367,58276,71009,66393,54403,68524,188288,205478,2.376675487
2016,양천구,8.78,5.36,5.13,6.423333333,4294,4112,17466,21273,60652,64871,68337,88912,79730,79970,239986,245519,1.183223654
2016,강서구,8.87,5.63,5.18,6.56,6589,5450,26725,23875,54148,85007,107173,95535,93170,107389,292646,306965,0.981908271
2016,구로구,8.92,5.58,5.13,6.543333333,31976,5366,19269,17762,35930,56899,73649,68312,65768,82189,226492,225262,1.020725882
2016,금천구,9,5.77,5.4,6.723333333,19275,3645,8212,7616,19617,34418,36744,38419,41850,47516,129931,123736,1.473514489
2016,영등포구,8.53,5.66,5.17,6.453333333,36804,6322,15325,13554,29598,54343,67212,60272,58802,74847,206795,203962,7.60927507
2016,동작구,8.62,5.62,4.95,6.396666667,12032,3227,15847,15123,33583,64154,70216,63826,60254,79226,202623,211638,1.286756417
2016,관악구,8.79,5.4,4.95,6.38,19026,5678,16720,15412,37037,97069,96369,77528,72187,96839,266531,261656,0.567353986
2016,서초구,8.87,5.48,4.69,6.346666667,4272,4989,19364,22213,49290,59474,75250,82067,63399,75577,216647,234259,6.773287559
2016,강남구,8.7,5.41,4.97,6.36,5013,8149,20628,23314,65746,82159,97986,103542,83096,93490,275494,299480,9.342380699
2016,송파구,8.96,5.41,4.92,6.43,6986,6090,27199,28493,67807,92316,112943,112131,103685,110853,323007,339406,2.02376614
2016,강동구,8.78,5.35,4.82,6.316666667,4418,4462,17339,18051,44231,62544,72358,73712,76437,83209,225015,227284,0.953104031
2017,종로구,8.63,6.01,5.49,6.71,9531,4057,4222,4895,13224,23916,21483,25280,25806,36283,80173,84467,13.52014699
2017,중구,8.85,5.46,5.29,6.533333333,8842,4184,4116,3812,8222,18011,20380,19836,20975,29980,66064,68110,38.92416564
2017,용산구,8.46,5.34,5.05,6.283333333,14962,4060,7718,7907,18147,31733,38042,38523,35705,51185,119056,124866,6.82619034
2017,성동구,8.71,5.35,5.24,6.433333333,8054,2767,12535,11076,24118,45957,52540,50319,48656,59678,154253,158680,3.640252067
2017,광진구,8.98,4.99,5.13,6.366666667,14671,4646,12163,12395,31161,60428,61397,58536,56426,65237,180737,191677,NA
2017,동대문구,8.5,5.16,4.76,6.14,15758,3975,11709,12292,28417,54338,53782,56028,56106,79339,182000,185769,1.027188262
